affordable_cost,location_convenience,choice_of_programs,online_offerings,family_friend_referral,faculty_staff,college_reputation,scholarships,transfer_student,small_class_sizes,extra_curricula_opportunities,enrolled_course,web_development,cybersecurity,app_development,data_analytics,machine_learning_ai,computer_programming,game_design,hardware_installation_repair,open_house,instant_decision_day,on_campus_info_session,titans_tuesday_session,women_who_dare,regional_college_fair,heard_ccm_website,heard_billboard,heard_television,heard_radio,heard_social_media,heard_community_event,heard_family_friend,heard_employer,heard_current_student,heard_alumni,heard_high_school,info_hs_guidance,info_ccm_it_website,info_ccm_admissions,info_ccm_advisor,info_employer,info_other
High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,CMP 126 Computer Technology and Applications,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't recall
High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,High Impact,CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,No Impact,No Impact,CMP 126 Computer Technology and Applications,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall
Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Don't recall,No,Yes,No
High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Don't recall,Don't recall
Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,CMP 101 Computer Information Literacy,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
Some Impact,Some Impact,High Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,CMP 101 Computer Information Literacy,No,No,No,No,No,No,Yes,No,Not Sure,No,Not Sure,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No
High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,CMP 101 Computer Information Literacy,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,Some Impact,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No
Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Don't recall,No,No,No,No,No
High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Don't recall,Don't recall,No,No
